age,pop
total,9140473
0,181155
1,185501
2,185209
3,183608
4,181638
5,179685
6,175106
7,174682
8,170306
9,170254
10,165831
11,160225
12,155770
13,152628
14,148272
15,148618
16,149056
17,143561
18,140442
19,140782
20,136192
21,135492
22,131214
23,129028
24,125367
25,125513
26,124784
27,124050
28,123510
29,122484
30,121981
31,120716
32,119436
33,119848
34,119258
35,119470
36,119765
37,116856
38,114456
39,114600
40,113667
41,109897
42,111989
43,114917
44,112639
45,108808
46,105226
47,102737
48,102587
49,98301
50,93184
51,89313
52,83210
53,84927
54,83578
55,82029
56,79098
57,78947
58,77936
59,80465
60,77527
61,76210
62,74813
63,73998
64,74666
65,72103
66,72367
67,72444
68,71299
69,69953
70,62751
71,61694
72,66207
73,59264
74,46071
75,38661
76,33014
77,30772
78,31905
79,31809
80,31298
81,31330
82,30484
83,26335
84,23008
85,20027
86,17168
87,16573
88,13486
89,12838
90+,50589
